raman_shift,pointwise_std,variance_weight
607.5,0.003026588741434238,0.9413349591600421
608.75,0.003260277129493783,0.8780425816204883
610.0,0.0032617050797699018,0.877681986073832
611.25,0.0031651687858602474,0.9027458378106394
612.5,0.0030298478339121026,0.9403895861611768
613.75,0.0029410264739414818,0.9668526442603782
615.0,0.0030074874885754805,0.9469141492531422
616.25,0.0029485109854902433,0.9645654136799984
617.5,0.002739687851849833,1.0327287892467727
618.75,0.0025180952007377855,1.116449984653436
620.0,0.002288995303380031,1.2185849608488961
621.25,0.0021283422104906437,1.3021162481747228
622.5,0.0020494897228210338,1.3474511519992902
623.75,0.0019617972445371765,1.401725271754248
625.0,0.001995153476155304,1.3805731557278056
626.25,0.0018191675625818444,1.4999943667630506
627.5,0.0015789042007831784,1.7008571776676826
628.75,0.0014502059419435845,1.83228524257038
630.0,0.0013331975666309058,1.9707351970546423
631.25,0.0012262245039719058,2.116977658823745
632.5,0.0012261216686105547,2.1171286878845335
633.75,0.0013058319097305684,2.006188807230903
635.0,0.0014378053329398139,1.8460297539742947
636.25,0.0015031616157268474,1.7758227925560182
637.5,0.0014303297535133708,1.8544155661759627
638.75,0.0015413094383611835,1.7372582421429936
640.0,0.001810139109934957,1.5066805557448635
641.25,0.001851933465573262,1.4762195470579023
642.5,0.0016214673949378929,1.6614439266683252
643.75,0.001363290131537999,1.9331677628312185
645.0,0.0014437296835988695,1.8394377258192238
646.25,0.0014902792144941787,1.7892355626417928
647.5,0.0013894165432072987,1.9016943001569253
648.75,0.001239692252648827,2.0973827395267226
650.0,0.001192338505942573,2.1679386727242265
651.25,0.0013931446330778267,1.8972865748320922
652.5,0.001552955750263584,1.7258162443020169
653.75,0.0013680055248789088,1.9274104980743412
655.0,0.0010352191695688834,2.440320414761747
656.25,0.0010175344365518887,2.4753255857206358
657.5,0.001242972452150499,2.092665019391687
658.75,0.001459514620491414,1.8221014817754286
660.0,0.0015953712545576516,1.6853890259223925
661.25,0.0014741259807261673,1.806342871673286
662.5,0.001232713912875005,2.1074903829804303
663.75,0.001305013218720365,2.0072691260479893
665.0,0.0014744931130611166,1.8059504227326222
666.25,0.0014434990487980557,1.8396934724419522
667.5,0.0016982637019669659,1.5947666753864904
668.75,0.0019975298239106195,1.3790905805527547
670.0,0.0019973236403174072,1.3792190898850338
671.25,0.0017965603307987005,1.516849571791227
672.5,0.0016414181171318684,1.6435916850276993
673.75,0.001648502639826429,1.637344288786353
675.0,0.001792793375441937,1.5196949757117746
676.25,0.0019378895553246308,1.4172889925216428
677.5,0.0019627390664799242,1.4011191480238445
678.75,0.0019105829529175826,1.4354936226597306
680.0,0.0020113667561880563,1.3705207402105055
681.25,0.002250299707842045,1.2377094823786476
682.5,0.0025286955381413896,1.1121370608481915
683.75,0.002765860552222396,1.0236621574855542
685.0,0.0027409326863328475,1.0322939229239
686.25,0.002555339519495539,1.1014422361132488
687.5,0.0024805473809212703,1.1319997862951758
688.75,0.0025178484824705965,1.1165507644698303
690.0,0.0026572180869141853,1.0623781041838027
691.25,0.002862428372295892,0.991543645022001
692.5,0.0030007325594682134,0.9489030254228714
693.75,0.0029473167655539954,0.9649296356665171
695.0,0.002914279339840916,0.9751158443471628
696.25,0.0031603014028268087,0.9040475254827773
697.5,0.0034349211139214665,0.8360331119655924
698.75,0.0035753523032367607,0.8050610321721435
700.0,0.0036004529371546534,0.7997652448687778
701.25,0.0035036683962634137,0.8205786553214217
702.5,0.0032417285870580182,0.8827536499055656
703.75,0.002986843477871633,0.9530187977130263
705.0,0.0027346761884615312,1.034483260094073
