raman_shift,arithmetic_mean_discrete_interpolated,spline_mean_functional,robust_median_functional,wasserstein_exact_quantile_fallback,wasserstein_exact_quantile
1221.25,0.00062981725413302,0.0006411647876778236,0.00032215815873948,0.01076411650795791,0.01076411650795791
1222.5,0.0007489710802836116,0.0007394757850532217,0.0004221135397157372,0.009233299159649728,0.009233299159649728
1223.75,0.0008468695121831181,0.0008999887515719173,0.0005337089793786666,0.01094908232014293,0.01094908232014293
1225.0,0.001141313643740463,0.0011858439925130756,0.0007372862988581924,0.013126246965861343,0.013126246965861343
1226.25,0.0014095034346734614,0.0014615593941741843,0.0009336998078905512,0.012309801512171944,0.012309801512171944
1227.5,0.0016805664922668834,0.0017149367278194404,0.0011054341759166016,0.012092433239070157,0.012092433239070157
1228.75,0.001929181961260208,0.0019290117897426363,0.0012559649336697206,0.014164972942149136,0.014164972942149136
1230.0,0.0020171174608465264,0.002029961721983368,0.0013585084077311748,0.013792066512921074,0.013792066512921074
1231.25,0.0019934980119926437,0.0020735158643556914,0.0014708852489093813,0.01164876024640575,0.01164876024640575
1232.5,0.0020452887825832553,0.0021033175008932647,0.0016007109849581166,0.011713658029353062,0.011713658029353062
1233.75,0.0021348481881198885,0.0021677087571215447,0.0017534308841904806,0.013048804010420105,0.013048804010420105
1235.0,0.0022005706833175104,0.002339694498373378,0.001992733980471378,0.014127869629245967,0.014127869629245967
1236.25,0.002634205843786217,0.0026631595171198253,0.0023607785608213286,0.012723354899532725,0.012723354899532725
1237.5,0.0031485245511010686,0.0032154376528665362,0.0029481298810234485,0.010250649656388323,0.010250649656388323
1238.75,0.004006772966472243,0.0040260518884367,0.0037790385438480237,0.009937003071843855,0.009937003071843855
1240.0,0.005199478474290581,0.005070140549862732,0.004823915141137499,0.01277813319473665,0.01277813319473665
1241.25,0.006334311603899736,0.0062363909777892945,0.005958939460576434,0.013956936379225028,0.013956936379225028
1242.5,0.0074276260837610394,0.007331657424578666,0.00706144201724099,0.012644192457415823,0.012644192457415823
1243.75,0.008474606986015818,0.008411796422878894,0.00816233709070285,0.012785188580766237,0.012785188580766237
1245.0,0.009521025394295097,0.009496587399209142,0.009277524412953415,0.012198111130296027,0.012198111130296027
1246.25,0.010574348041311537,0.010444759494288637,0.010312706582226452,0.01010739438682629,0.01010739438682629
1247.5,0.011047243901481624,0.011117303615087715,0.011101893240781705,0.00906606872017428,0.00906606872017428
1248.75,0.011271043506003671,0.01132570774941657,0.01147578869721871,0.00975355224797248,0.00975355224797248
1250.0,0.011343369304782337,0.011339795378654266,0.011634829180072402,0.009144099438808619,0.009144099438808619
1251.25,0.011477443631253229,0.01159308037028154,0.011945652159895076,0.009267813176860302,0.009267813176860302
1252.5,0.012239392191481228,0.012231064121200211,0.012582410857137604,0.012052468147265374,0.012052468147265374
1253.75,0.01298541057391302,0.013036925264876303,0.013376432227899727,0.013489686280851917,0.013489686280851917
1255.0,0.013790935994679883,0.013806787017651229,0.014189655409071852,0.013649863003100626,0.013649863003100626
1256.25,0.01445325573393903,0.01437143989805209,0.014871414432386262,0.015512591463800037,0.015512591463800037
1257.5,0.014718650042286941,0.014809525027857602,0.01543114636697512,0.018664494844546804,0.018664494844546804
1258.75,0.015506951438912103,0.01545906270104985,0.016102019452479487,0.020037599099287897,0.020037599099287897
1260.0,0.016170429158734807,0.01618914246112824,0.01680358986588785,0.020203098718115278,0.020203098718115278
1261.25,0.016830489513437696,0.016909639320374106,0.017531737661849785,0.020671074100413984,0.020671074100413984
1262.5,0.017496813142671208,0.017550153722329175,0.01824517874410927,0.02108793026024104,0.02108793026024104
1263.75,0.0179465482157219,0.018029509945185394,0.018818730374107782,0.02090401088211344,0.02090401088211344
1265.0,0.018378230996703288,0.018370598600759715,0.019209275034643113,0.020064595714976048,0.020064595714976048
1266.25,0.01837297718587014,0.01832808594879907,0.019175590524831483,0.018832949762958746,0.018832949762958746
