sample_id,l2,weighted_l2,auc,wasserstein_1d,fingerprint_distance,ch_stretch_distance
Heritage full cream RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 100hole.txt,0.22023069968978348,0.10844565537586798,3.275269352529719,66.21180211332045,0.10979471235276181,0.08784093978871249
Heritage full cream RT 633nm 100% 600g 50xL 10s 10times 400-3500cm-1.txt,0.4269785560170422,0.20419542132696722,10.819321410105552,246.17951871739888,0.25539694317139555,0.24035033236604036
Heritage full cream RT 785nm 100% 600g 50xL 10s 10times 400-3500cm-1.txt,1.1142790628458525,0.5879851709819152,3.1227858194775564,222.35078154640343,0.5695997370104733,0.6962437253314598
Heritage full cream RT after 24h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.19441858122145125,0.09464928740646603,0.12447180501079202,61.36168217435896,0.17531573299713774,0.04156917981953677
Heritage full cream basic 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.1888361115827421,0.09385292782947778,0.783829713971997,70.2254487817121,0.13925264154984318,0.0852277042362309
Heritage special 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole after heating.txt,0.4045641242423978,0.20526340657478012,7.1495773047664954,96.21213634391489,0.23347328783844465,0.06631756932171173
Heritage special RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.2977029466617993,0.15792314327096207,4.4709649427690294,98.18584904547254,0.20581919860589704,0.0583207968976175
Heritage special RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole_Re.txt,0.2562624379294525,0.11859113744101381,1.4234835408314908,99.64998475160385,0.21402425408096143,0.13657918734798405
Heritage special RT after 24 h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.3587122253383086,0.18032887934110242,5.717853578553125,92.62772970201638,0.27323741620774283,0.16331808179576462
Heritage special acidic 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.5393506984954611,0.3063469941426085,6.909611312946367,222.9564441516263,0.344484436996379,0.1331396517911918
Heritage special basic 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.32570256496849503,0.18073027370240918,6.147521560945833,71.64677345299175,0.19707076467708293,0.04448735167971123
Heritage toned Cold 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.23997628559663534,0.14016459273180468,5.000382397025604,99.70656405487935,0.13839030256259668,0.04125760835204584
